CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE.DESCRIPTION,INSPECTION.DATE,ACTION,VIOLATION.CODE,VIOLATION.DESCRIPTION,CRITICAL.FLAG,SCORE,GRADE,GRADE.DATE,RECORD.DATE,INSPECTION.TYPE,add,lon,lat,geoAddress
41153141,TANAKA,MANHATTAN,222,EAST   51 STREET,10022,2123086976,Japanese,2/5/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140í‰Œ_ F.,Critical,39,,,9/27/17,Cycle Inspection / Initial Inspection,222 EAST   51 STREET,-76.2823182,39.9861524,"51 us-222, willow street, pa 17584, usa"
41209902,STARBUCKS,MANHATTAN,4,WEST   21 STREET,10010,6463366583,Cafí€Œ©/Coffee/Tea,12/23/14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,8,A,12/23/14,9/27/17,Cycle Inspection / Initial Inspection,4 WEST   21 STREET,-86.1574194,39.794979,"4 w 21st st, indianapolis, in 46202, usa"
40381797,ROSA MEXICANO,MANHATTAN,1063,FIRST AVENUE,10022,2127537407,Mexican,2/25/16,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,19,,,9/27/17,Cycle Inspection / Initial Inspection,1063 FIRST AVENUE,-73.9627516,40.7589866,"1063 1st avenue, new york, ny 10022, usa"
40597763,GREAT JONES CAFE,MANHATTAN,54,GREAT JONES ST,10012,2126744728,American,4/18/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,35,,,9/27/17,Cycle Inspection / Initial Inspection,54 GREAT JONES ST,-73.9921584,40.72672,"54 great jones st, new york, ny 10012, usa"
41303464,VICKY'S DINER,MANHATTAN,805,WEST  187 STREET,10033,2129278458,American,6/12/15,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,43,,,9/27/17,Cycle Inspection / Initial Inspection,805 WEST  187 STREET,-73.9373482,40.8554129,"805 w 187th st, new york, ny 10040, usa"
41600677,XO TASTE,MANHATTAN,41,ELIZABETH STREET,10013,2123438339,Chinese,12/18/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,12/18/14,9/27/17,Cycle Inspection / Re-inspection,41 ELIZABETH STREET,-73.9969652,40.7170283,"41 elizabeth st, new york, ny 10013, usa"
41311425,DEAN & DELUCA NEW YORK,MANHATTAN,632,WEST   28 STREET,10001,2124308312,American,7/18/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,7/18/14,9/27/17,Cycle Inspection / Re-inspection,632 WEST   28 STREET,-78.9676942,39.0708846,"632 wv-28, moorefield, wv 26836, usa"
41538728,BOWLMOR LANE,MANHATTAN,222,WEST   44 STREET,10036,2126800012,American,9/25/14,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,13,A,9/25/14,9/27/17,Cycle Inspection / Initial Inspection,222 WEST   44 STREET,-73.9872029,40.7576666,"222 w 44th st, new york, ny 10036, usa"
41164793,LATINO'S BAR & GRILL RESTAURANT,MANHATTAN,3864,BROADWAY,10032,2127401313,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/17/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140í‰Œ_ F.,Critical,55,,,9/27/17,Cycle Inspection / Initial Inspection,3864 BROADWAY,-73.9426229,40.8366155,"3864 broadway, new york, ny 10032, usa"
41199571,BAR  BELLY,MANHATTAN,14B,ORCHARD STREET,10002,6465969142,American,4/29/14,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,4,A,4/29/14,9/27/17,Cycle Inspection / Re-inspection,14B ORCHARD STREET,-72.9416346,41.30198,"14 orchard st, new haven, ct 06519, usa"
40827050,SUBWAY,MANHATTAN,106,GREENWICH STREET,10006,2016545901,Sandwiches,5/12/15,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,14,,,9/27/17,Cycle Inspection / Initial Inspection,106 GREENWICH STREET,-74.0136127,40.7085336,"106 greenwich st, new york, ny 10006, usa"
41700988,44TH STREET MINAR,MANHATTAN,160,EAST   44 STREET,10017,2129490245,Indian,8/8/16,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140í‰Œ_ F to 70í‰Œ_ F or less within 2 hours, and from 70í‰Œ_ F to 41í‰Œ_ F or less within 4 additional hours.",Critical,9,A,8/8/16,9/27/17,Cycle Inspection / Initial Inspection,160 EAST   44 STREET,-73.9739606,40.7520891,"160 e 44th st, new york, ny 10017, usa"
41543722,DOMINO'S,MANHATTAN,736,WEST  181 STREET,10033,2127813700,Pizza,12/22/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29,C,12/22/14,9/27/17,Cycle Inspection / Re-inspection,736 WEST  181 STREET,-88.0171755,43.0237104,"736 wi-181, west allis, wi 53214, usa"
50001842,AMAZE,MANHATTAN,401,EAST 58 STREET,10022,2126888808,Asian,6/24/15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,6/24/15,9/27/17,Cycle Inspection / Re-inspection,401 EAST 58 STREET,-85.3314749,35.004702,"401 tn-58, chattanooga, tn 37409, usa"
50013398,MARTA,MANHATTAN,29,E 29TH ST,10016,2126513800,Italian,10/28/16,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,10/28/16,9/27/17,Cycle Inspection / Initial Inspection,29 E 29TH ST,-73.9844689,40.7447125,"29 e 29th st, new york, ny 10016, usa"
41651801,THE LIBERTY,MANHATTAN,29,WEST   35 STREET,10001,2129674000,American,9/25/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,9/25/14,9/27/17,Cycle Inspection / Re-inspection,29 WEST   35 STREET,-97.7347312,30.2993549,"29 w 35th st, austin, tx 78705, usa"
41074315,ROCKWOOD MUSIC HALL,MANHATTAN,184198,ALLEN STREET,10002,2124774155,American,9/11/14,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,9,A,9/11/14,9/27/17,Cycle Inspection / Initial Inspection,184198 ALLEN STREET,-73.9908008,40.7187073,"allen st, new york, ny 10002, usa"
40991382,COZY CORNER/CHICKEN LOVER,MANHATTAN,1161,2 AVENUE,10065,2123086052,Delicatessen,4/30/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,28,,,9/27/17,Cycle Inspection / Initial Inspection,1161 2 AVENUE,-73.963585,40.762102,"1161 2nd ave, new york, ny 10065, usa"
41614210,PETALUMA,MANHATTAN,1356,1 AVENUE,10021,2127728800,Italian,10/16/14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,27,,,9/27/17,Cycle Inspection / Initial Inspection,1356 1 AVENUE,-73.9553054,40.7682295,"1356 1st avenue, new york, ny 10021, usa"
41692902,STRIP HOUSE,MANHATTAN,15,WEST   44 STREET,10036,2123365454,Steak,11/3/16,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12,A,11/3/16,9/27/17,Cycle Inspection / Initial Inspection,15 WEST   44 STREET,-73.9806807,40.7553242,"15 w 44th st, new york, ny 10036, usa"
40378212,CUCHIFRITO,MANHATTAN,168,EAST  116 STREET,10029,2128764846,Mexican,4/3/17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,30,,,9/27/17,Cycle Inspection / Initial Inspection,168 EAST  116 STREET,-90.4103769,40.7292359,"168 il-116, st augustine, il 61474, usa"
40716625,PRUNE,MANHATTAN,54,EAST    1 STREET,10003,2126776221,American,11/22/14,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,29,,,9/27/17,Cycle Inspection / Initial Inspection,54 EAST    1 STREET,-82.4124162,32.2174497,"54 e 1st st, vidalia, ga 30474, usa"
50037199,THE JUICE SHOP,MANHATTAN,956,3RD AVE,10022,2126444913,"Juice, Smoothies, Fruit Salads",8/1/16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,8/1/16,9/27/17,Cycle Inspection / Re-inspection,956 3RD AVE,-74.0069593,40.6554819,"956 3rd ave, brooklyn, ny 11232, usa"
41351011,CABRINI 181,MANHATTAN,854,WEST  181 STREET,10033,2129232233,American,2/12/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25,,,9/27/17,Cycle Inspection / Initial Inspection,854 WEST  181 STREET,-88.01719,43.0231552,"854 wi-181, west allis, wi 53214, usa"
40384222,PJ MORANS,MANHATTAN,3,EAST   48 STREET,10017,2127536440,Irish,6/1/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,35,,,9/27/17,Cycle Inspection / Initial Inspection,3 EAST   48 STREET,-73.9774875,40.7572463,"3 e 48th st, new york, ny 10017, usa"
40401912,O'NIEALS,MANHATTAN,174,GRAND STREET,10013,2129419119,American,9/20/17,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,9/20/17,9/27/17,Cycle Inspection / Initial Inspection,174 GRAND STREET,-73.9978321,40.7197109,"174 grand st, new york, ny 10013, usa"
40366574,BLARNEY STONE,MANHATTAN,11,TRINITY PLACE,10006,2122694988,Irish,5/31/17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,5/31/17,9/27/17,Cycle Inspection / Re-inspection,11 TRINITY PLACE,-74.0137007,40.7062029,"11 trinity pl, new york, ny 10006, usa"
50015399,LAN LARB,MANHATTAN,637,2ND AVE,10016,2128891769,Thai,7/6/16,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,19,,,9/27/17,Cycle Inspection / Initial Inspection,637 2ND AVE,-73.9757733,40.745356,"637 2nd ave, new york, ny 10016, usa"
50040296,GAMMEEOK,MANHATTAN,9,W 32ND ST,10001,2128681180,Korean,7/5/16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140í‰Œ_ F.,Critical,12,A,7/5/16,9/27/17,Cycle Inspection / Re-inspection,9 W 32ND ST,-73.9860601,40.7476844,"9 w 32nd st, new york, ny 10001, usa"
41325741,TASTI D-LITE,MANHATTAN,1276,LEXINGTON AVENUE,10028,2128766200,"Ice Cream, Gelato, Yogurt, Ices",2/19/15,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,NA,,,9/27/17,Smoke-Free Air Act / Initial Inspection,1276 LEXINGTON AVENUE,-73.9559198,40.7793329,"1276 lexington ave, new york, ny 10028, usa"
41071907,LENOX FAST FOOD,MANHATTAN,657,LENOX AVENUE,10037,2122815812,American,9/2/16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,9/2/16,9/27/17,Cycle Inspection / Re-inspection,657 LENOX AVENUE,-80.1393766,25.7766829,"657 lenox ave, miami beach, fl 33139, usa"
41488338,388 CAFE & DELI,MANHATTAN,3-Jan,ELDRIDGE STREET,10002,2122191318,Chinese,11/24/15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,11/24/15,9/27/17,Cycle Inspection / Initial Inspection,1-3 ELDRIDGE STREET,-74.5702003,39.9737768,"1 eldridge st, browns mills, nj 08015, usa"
50046632,BINGBOX SNOW CREAM,MANHATTAN,125,2ND AVE,10003,9176757454,"Ice Cream, Gelato, Yogurt, Ices",4/10/17,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,18,,,9/27/17,Cycle Inspection / Initial Inspection,125 2ND AVE,-73.9882289,40.7284012,"125 2nd ave, new york, ny 10003, usa"
41299712,MISO-YA,MANHATTAN,129,2 AVENUE,10003,2126774825,Japanese,9/11/14,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,45,,,9/27/17,Cycle Inspection / Initial Inspection,129 2 AVENUE,-97.5726615,47.7355394,"129 2nd ave, northwood, nd 58267, usa"
50003015,BARBALU,MANHATTAN,225,FRONT STREET,10038,6469186565,Italian,5/5/15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,5/5/15,9/27/17,Cycle Inspection / Initial Inspection,225 FRONT STREET,-74.002061,40.7073602,"225 front st, new york, ny 10038, usa"
41701177,GO GO THAI,MANHATTAN,144,WEST   19 STREET,10011,2129299998,Thai,12/30/13,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,6,A,12/30/13,9/27/17,Cycle Inspection / Re-inspection,144 WEST   19 STREET,-87.630332,41.8567386,"144 w 19th st, chicago, il 60616, usa"
41699552,IL GNOCCHI RESTAURANT,MANHATTAN,118,EAST  116 STREET,10029,2122892006,Mexican,12/22/15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,22,B,12/22/15,9/27/17,Cycle Inspection / Re-inspection,118 EAST  116 STREET,-90.4195271,40.7292322,"118 il-116, st augustine, il 61474, usa"
41578619,MCDONALD'S,MANHATTAN,444,LENOX AVENUE,10037,2122837798,American,1/26/15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,1/26/15,9/27/17,Cycle Inspection / Initial Inspection,444 LENOX AVENUE,-73.94178,40.812233,"444 lenox ave, new york, ny 10030, usa"
41232102,CHUCK E. CHEESE'S,MANHATTAN,280,ST NICHOLAS AVENUE,10027,2122229772,Pizza,12/8/15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30,,,9/27/17,Cycle Inspection / Initial Inspection,280 ST NICHOLAS AVENUE,-73.9527649,40.8101402,"280 st nicholas ave, new york, ny 10027, usa"
50040546,BARILLA RESTAURANTS,MANHATTAN,108,W 32ND ST,10001,2128477171,Italian,3/7/16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/7/16,9/27/17,Pre-permit (Operational) / Re-inspection,108 W 32ND ST,-73.9890863,40.748454,"108 w 32nd st, new york, ny 10001, usa"
41713226,CAFE MOFONGO,MANHATTAN,316,WEST   39 STREET,10018,2124650592,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/12/17,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,26,,,9/27/17,Cycle Inspection / Initial Inspection,316 WEST   39 STREET,-73.992228,40.7555229,"316 w 39th st, new york, ny 10018, usa"
41443726,MCKENNA'S PUB,MANHATTAN,250,WEST   14 STREET,10011,2122552889,American,10/17/14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,,,9/27/17,Cycle Inspection / Initial Inspection,250 WEST   14 STREET,-120.4799375,37.2961891,"298-2 w 14th st, merced, ca 95340, usa"
41225222,DISHES,MANHATTAN,399,PARK AVENUE,10022,2124215511,American,12/2/15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,9/27/17,Cycle Inspection / Initial Inspection,399 PARK AVENUE,-73.9718849,40.7591191,"399 park ave, new york, ny 10022, usa"
50043794,T-SWIRL CREPE,MANHATTAN,2,MOTT ST,10013,6467264166,Japanese,5/9/17,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,28,,,9/27/17,Cycle Inspection / Initial Inspection,2 MOTT ST,-73.9984808,40.7137987,"2 mott st, new york, ny 10013, usa"
40391060,LUKE'S BAR & GRILL,MANHATTAN,1394,THIRD AVENUE,10075,2122497070,American,10/11/16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15,,,9/27/17,Cycle Inspection / Initial Inspection,1394 THIRD AVENUE,-74.007284,40.6549822,"1394 3rd ave, brooklyn, ny 11232, usa"
41523593,EDI & THE WOLF,MANHATTAN,102,AVENUE C,10009,2125981040,German,9/12/14,Violations were cited in the following area(s).,02G,Cold food item held above 41í‰Œ_ F (smoked fish and reduced oxygen packaged foods above 38 í‰Œ_F) except during necessary preparation.,Critical,18,,,9/27/17,Cycle Inspection / Initial Inspection,102 AVENUE C,-73.9787119,40.7237641,"102 avenue c, new york, ny 10009, usa"
40750285,CROSSROADS (MARRIOTT MARQUIS),MANHATTAN,1535,BROADWAY,10036,2123981900,American,10/12/16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,10/12/16,9/27/17,Cycle Inspection / Initial Inspection,1535 BROADWAY,-73.9862474,40.7586114,"1535 broadway, new york, ny 10036, usa"
50001855,MANGIA,MANHATTAN,422,MADISON AVE,10017,2126449144,American,8/5/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30,,,9/27/17,Cycle Inspection / Initial Inspection,422 MADISON AVE,-73.9764615,40.7570911,"422 madison ave, new york, ny 10017, usa"
41225414,THE REDHEAD,MANHATTAN,349,EAST 13 STREET,10003,2125336212,American,9/20/16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,,,9/27/17,Cycle Inspection / Initial Inspection,349 EAST 13 STREET,-97.73728,30.2742106,"349 e 13th st, austin, tx 78701, usa"
40638792,MERCER KITCHEN,MANHATTAN,99,PRINCE STREET,10012,2129665454,Irish,4/24/17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,4/24/17,9/27/17,Cycle Inspection / Initial Inspection,99 PRINCE STREET,-73.9986648,40.7249049,"99 prince st, new york, ny 10012, usa"
50063834,INTREPID SEA AIR & SPACE MUSEUM (WELCOME CENTER),MANHATTAN,1,INTREPID SQ,10036,3472208442,American,1/1/00,,,,Not Applicable,NA,,,9/27/17,,1 INTREPID SQ,-73.9987642,40.7636525,"1 intrepid square, new york, ny 10036, usa"
40978159,CANDLE 79 RESTAURANT,MANHATTAN,154,EAST   79 STREET,10075,2125377179,Vegetarian,9/10/15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,,,9/27/17,Cycle Inspection / Initial Inspection,154 EAST   79 STREET,-90.6529662,38.799951,"154 mo-79, o'fallon, mo 63376, usa"
41405889,FISH MARKET RESTAURANT,MANHATTAN,111,SOUTH STREET,10038,9173638101,Seafood,8/2/16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,40,,,9/27/17,Pre-permit (Non-operational) / Initial Inspection,111 SOUTH STREET,-71.114977,42.3060907,"111-115 south st, jamaica plain, ma 02130, usa"
41670338,A ASO SUSHI,MANHATTAN,1103,1 AVENUE,10065,2128888276,Japanese,5/20/14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,5/20/14,9/27/17,Cycle Inspection / Initial Inspection,1103 1 AVENUE,-73.9615805,40.760633,"1103 1st avenue, new york, ny 10065, usa"
41722632,CAFE HABANA/CAFE HABANA TO GO,MANHATTAN,17,PRINCE STREET,10012,2126252001,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/16/15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140í‰Œ_ F.,Critical,24,,,9/27/17,Cycle Inspection / Initial Inspection,17 PRINCE STREET,-73.994193,40.722933,"17 prince st, new york, ny 10012, usa"
41457023,CASA MEZCAL,MANHATTAN,86,ORCHARD STREET,10002,2127772600,Mexican,5/12/15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,,,9/27/17,Cycle Inspection / Initial Inspection,86 ORCHARD STREET,-73.9901253,40.7179202,"86 orchard st, new york, ny 10002, usa"
